"","X1","X2"
"116",-110.531841,44.601077
"117",-110.045876,44.931392
"118",22.42427,49.270656
"119",-110.680946,44.80761
"120",-110.474227,44.745562
"121",25.349798,45.495146
"122",-117.622794,52.538788
"123",32.593542,61.789893
"124",-136.812055,58.950613
"125",14.56989,45.737248
"126",159.41519,55.704423
"127",35.531248,56.363288
"128",85.920012,53.975493
"129",-136.495155,58.84697
"130",-118.183382,52.87748
"131",85.918419,53.976158
"132",-110.088152,44.920002
"133",-110.274917,44.849954
"134",-110.079304,44.971953
"135",-128.075245,55.325191
"136",-110.112794,44.899507
"137",-116.833098,49.204661
"138",-148.833952,63.654604
"139",-135.460538,58.127861
"140",-110.17285,44.882804
"141",-110.107283,45.069103
"142",-149.506787,63.62494
"143",-119.03177,51.146245
"144",-135.060812,60.873026
"145",-149.357309,68.2802
"146",-149.329174,63.640504
"147",-118.065339,52.885653
"148",-150.70341,63.079932
"149",-150.732249,63.071226
"150",-150.726756,63.097336
"151",-110.311797,44.876263
"152",18.357698,43.37525
"153",145.517258,43.856687
"154",-110.292495,44.977662
"155",-110.070389,44.943741
"156",-110.663281,44.818634
"157",-149.78263,63.418696
"158",-124.446352,54.611491
"159",-149.786255,63.559363
"160",-110.685443,44.492512
"161",-110.482076,44.739158
"162",56.74606,53.11652
"163",31.681318,58.54314
"164",-122.666465,51.159864
"165",-122.987874,51.036699
"166",-110.274756,43.866378
"167",-111.737966,47.345448
"168",-149.159898,60.95432
"169",-6.169665,43.105426
"170",-110.446336,44.828386
"171",-6.373834,43.091802
"172",-110.566031,43.953079
"173",-149.685195,63.515806
"174",-6.062207,43.123431
"175",-110.978528,44.440363
"176",-110.439116,44.821732
"177",-165.369734,64.856774
"178",-110.42131,43.953137
"179",-110.262199,44.955818
"180",-110.162395,44.882206
"181",-110.126173,44.990142
"182",-110.386591,44.960845
"183",-110.182739,44.808578
"184",-0.46875,36.969516
"185",-5.664072,43.215025
"186",-5.913546,43.200224
"187",29.268766,54.167631
"188",-149.657472,61.104476
"189",29.859651,66.138487
"190",29.85965,66.138363
"191",14.491713,45.515314
"192",30.51494,64.086884
"193",43.412757,57.575156
"194",145.061423,44.124547
"195",55.32933,57.816965
"196",-115.491587,51.093619
"197",-118.186993,52.899554
"198",-118.114852,52.833325
"199",-118.047332,52.907724
"200",145.592538,43.94902
"201",-130.634572,55.403989
"202",14.25,45.75
"203",24.5,45.32
"204",25.13,45.68
"205",25.95,46.11
"206",29.99,64.5
"207",25.95,46.11
"208",14.6,45.65
"209",14.6,45.65
"210",14.6,45.7
"211",11.21569,59.978556
"212",0.8361,42.8991
"213",0.9034,42.8445
"214",0.9034,42.8445
"215",0.9034,42.8445
"216",0.9034,42.8445
"217",0.9034,42.8445
"218",0.9034,42.8445
"219",0.9034,42.8445
"220",25.958161,69.598433
"221",11.063265,60.133176
"222",-6.203867,43.075886
"223",-6.203867,43.075886
"224",25.439218,69.473288
"225",14.564719,45.73511
"226",-136.45683,58.826671
"227",-136.390392,58.713227
"228",-131.889496,56.187136
"229",-148.846351,63.683503
"230",85.852673,53.983148
"231",-149.750195,63.486753
"232",-149.697758,63.564235
"233",-110.757498,43.910647
"234",14.717598,45.789837
"235",14.618716,45.680842
"236",26.824647,59.229355
"237",32.937783,56.468438
"238",25.944693,46.116839
"239",25.8575,46.147413
"240",25.601682,45.649742
"241",25.596974,45.635022
"242",25.567373,46.97143
"243",25.56568,46.97455
"244",25.571325,46.966089
"245",-130.03692,55.816748
"246",-6.333946,43.169747
"247",-145.602039,60.641395
"248",-138.428134,60.901314
"249",145.001715,44.036782
"250",24.627297,45.761906
"251",-6.251779,42.921446
"252",-115.317931,50.834739
"253",11.02592,46.00312
"254",-118.04841,52.812947
"255",-152.658419,59.988792
"256",-152.658419,59.988792
"257",30.228126,59.338599
"258",-122.757458,55.513331
"259",-150.239566,60.450209
"260",10.988673,45.951621
"261",157.48448,53.348599
"262",48.914292,59.404461
"263",28.052068,59.741383
"264",-122.897833,50.442796
"265",45.942702,58.874622
"266",30.129487,59.024063
"267",-149.629912,63.602157
"268",-116.013597,51.463751
"269",-115.162101,50.740983
"270",-131.890472,56.18297
"271",-131.88562,56.180803
"272",-131.889723,56.186229
"273",-151.192606,63.1148
"274",-110.434662,43.846077
"275",157.851419,53.036926
"276",-114.818835,50.655029
"277",-110.519072,44.687781
"278",33.850722,52.463305
"279",-136.519425,58.316528
"280",-6.018831,43.07788
"281",24.783611,46.1975
"282",-113.798247,49.330659
"283",-110.320208,43.814195
"284",-136.801919,58.945304
"285",22.538088,49.392898
"286",-165.02554,64.910269
"287",29.957042,64.457429
"288",-136.279328,58.099328
"289",-121.685703,54.118692
"290",-131.883942,56.178938
"291",-149.551072,60.930133
"292",-110.589786,43.870463
"293",-149.338832,68.426808
"294",-110.429428,44.603469
"295",86.535402,53.28202
"296",24.401841,45.727902
"297",-110.41245,44.520397
"298",-110.533984,44.733129
"299",-118.168602,52.913128
"300",-149.355682,68.43047
"301",-110.336862,44.846179
"302",109.50286,54.350363
"303",-6.367052,43.00294
"304",-110.566475,43.834816
"305",-110.840807,44.507865
"306",-110.531415,44.717269
"307",34.538803,66.571493
"308",34.548809,66.581932
"309",113.480776,62.255147
"310",-110.535331,43.90478
"311",-110.242092,44.58178
"312",-110.367337,44.401644
"313",-121.058886,54.721543
"314",-110.377158,44.422252
"315",-138.29093,65.289226
"316",-138.308797,65.380283
"317",58.98504,54.644474
"318",-110.989458,44.471057
"319",-155.791125,58.562041
"320",-113.727465,48.813873
"321",59.003381,54.695944
"322",50.224101,58.554067
"323",-148.855975,63.784446
"324",-148.930764,61.455747
"325",106.219374,55.395905
"326",-155.33468,58.79427
"327",-135.70197,57.37481
"328",-113.815792,48.783126
"329",-138.832868,69.497117
"330",-138.958074,69.420592
"331",-111.313879,45.095276
"332",-138.859379,69.425781
"333",-125.799011,50.624797
"334",-152.295775,58.17923
"335",24.728944,45.406948
"336",-139.351245,61.561303
"337",-110.797772,44.665554
"338",18.893282,48.876519
"339",14.343933,45.6628
"340",-113.602225,48.992771
"341",40.464175,44.056922
"342",40.458063,44.054195
"343",-110.287229,44.528728
"344",-115.079569,50.744753
"345",40.432571,44.043346
"346",40.438542,44.024194
"347",-164.85926,64.961051
"348",-165.223127,64.846783
"349",-164.349652,64.688732
"350",32.98136,67.062739
"351",45.248161,57.020288
"352",-110.49164,43.970245
"353",14.507641,45.680751
"354",-131.888335,56.180102
"355",-138.066964,64.866198
"356",-115.04056,50.723916
"357",-115.038086,50.600656
"358",22.430664,49.372718
"359",-115.059297,50.71554
"360",142.908917,43.783975
"361",-122.947848,50.531526
"362",-110.554394,44.551289
"363",-153.402882,60.566691
"364",-137.966673,59.701285
"365",-137.881593,60.137084
"366",-110.566613,44.746503
"367",-165.219981,64.924902
"368",-110.556654,44.682826
"369",-110.584616,44.787924
"370",-113.646742,48.948339
"371",-113.727864,48.751854
"372",-110.567841,44.681631
